Name,Age,Age Group,Country,Handedness,Home Location Type,Sleep,Sleep Group,Tertiary Qualifications,Car,Registration Date,Weight Time 1,Weight Time 2
Kiara Jordan,13,<20,USA,Right,Rural,9.5,9+ hours,No Qualifications,Mazda,2031-04-01,82.48,86.0838116382872
Lindsay James,29,20 to <30,South Korea,Right,City,10.0,9+ hours,No Qualifications,Mazda,2032-02-01,90.63,92.6867178334359
Benjamin Reid,71,70 to <80,USA,Right,City,7.0,7 to <9 hours,Undergraduate,Citroën,2032-06-01,100.24,108.24437433464
Heather Johnson,54,50 to <60,South Korea,Right,Town,6.5,Under 7 hours,No Qualifications,Kia,2031-04-01,95.71,103.59034566977
Joseph Roy,93,80+,South Korea,Right,Rural,7.5,7 to <9 hours,No Qualifications,Mercedes,2032-08-01,95.04,102.4422196203
Daniel Parker,34,30 to <40,USA,Left,City,8.0,7 to <9 hours,No Qualifications,Toyota,2032-03-01,94.79,90.9938006278811
Victoria Fitzpatrick,53,50 to <60,USA,Right,Rural,7.5,7 to <9 hours,No Qualifications,Mazda,2032-10-01,97.95,110.593412578628
Patrick Diaz,96,80+,Denmark,Right,Rural,6.0,Under 7 hours,Undergraduate,Tesla,2030-09-01,91.2,105.325809885345
Melissa Horton,17,<20,USA,Right,City,9.5,9+ hours,No Qualifications,Toyota,2032-07-01,90.64,102.118807177199
John Collins,38,30 to <40,NZ,Right,City,5.0,Under 7 hours,No Qualifications,Kia,2032-05-01,93.47,105.861939368534
Jacob Baker,9,<20,South Korea,Right,City,6.5,Under 7 hours,No Qualifications,Volkswagen,2030-03-01,74.32,69.8598808901495
Daniel Farley,70,70 to <80,USA,Right,City,9.0,9+ hours,No Qualifications,Mazda,2032-12-01,102.42,108.475156724981
Kelly Reed,37,30 to <40,USA,Right,City,11.0,9+ hours,No Qualifications,Porsche,2032-02-01,93.49,97.9909491747195
Kelly Aguilar,63,60 to <70,South Korea,Right,City,8.5,7 to <9 hours,Postgraduate,Renault,2032-06-01,96.25,104.140203923982
Cynthia Ramos,54,50 to <60,Denmark,Right,City,7.0,7 to <9 hours,Undergraduate,Hyundai,2032-12-01,93.59,85.5847923807116
Jesse Cain,35,30 to <40,USA,Left,Town,5.0,Under 7 hours,No Qualifications,Kia,2031-03-01,94.5,98.6804798015678
Roberto Moreno,98,80+,South Korea,Left,Rural,8.5,7 to <9 hours,No Qualifications,Toyota,2031-02-01,93.4,103.719204076163
Tracy Allen,50,50 to <60,Denmark,Left,Rural,8.0,7 to <9 hours,Undergraduate,Nissan,2032-09-01,93.27,103.253542136293
Christopher Smith,15,<20,South Korea,Right,City,8.5,7 to <9 hours,No Qualifications,Mini,2032-10-01,81.22,83.6725084920395
Michael Best,82,80+,USA,Right,Rural,8.5,7 to <9 hours,Postgraduate,Mitsubishi,2031-12-01,93.9,109.25795184175
Richard Brown,65,60 to <70,Denmark,Right,City,6.5,Under 7 hours,No Qualifications,Mitsubishi,2032-06-01,100.65,93.6575084114392
Kyle Rivera,71,70 to <80,USA,Ambidextrous,Town,7.0,7 to <9 hours,No Qualifications,Kia,2032-03-01,98.13,107.507543929886
Emily Mathis,47,40 to <50,USA,Right,City,6.0,Under 7 hours,No Qualifications,Mitsubishi,2031-10-01,98.74,104.828433941561
Sergio Bryan,30,30 to <40,USA,Left,City,7.0,7 to <9 hours,No Qualifications,Nissan,2032-09-01,88.81,83.5987215357817
Seth Foster,15,<20,USA,Ambidextrous,City,6.5,Under 7 hours,No Qualifications,Mazda,2031-12-01,85.52,92.3194937647316
Sheila Figueroa,62,60 to <70,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Kia,2030-11-01,98.74,99.0513287922556
Mary Watkins,44,40 to <50,South Korea,Left,Town,7.0,7 to <9 hours,No Qualifications,Mazda,2031-12-01,92.41,96.0769595745242
James Kane,27,20 to <30,USA,Ambidextrous,Town,9.5,9+ hours,Undergraduate,Nissan,2031-06-01,89.9,87.3714699602269
David Butler,61,60 to <70,NZ,Right,Town,8.0,7 to <9 hours,No Qualifications,Mini,2030-11-01,96.89,108.206183042621
Taylor Kidd,22,20 to <30,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Mini,2032-07-01,91.69,95.885333729687
Sara Cook,47,40 to <50,USA,Left,Town,9.5,9+ hours,Undergraduate,Suzuki,2031-07-01,92.33,88.1919276080525
Rebecca Martinez,61,60 to <70,NZ,Left,Rural,5.5,Under 7 hours,No Qualifications,Tesla,2032-06-01,94.49,100.746645066993
Monica Thomas,98,80+,NZ,Right,Rural,9.0,9+ hours,No Qualifications,Tesla,2031-11-01,96.63,106.562188238782
Angela Robinson,28,20 to <30,Denmark,Right,City,5.5,Under 7 hours,No Qualifications,Tesla,2032-02-01,92.67,100.69230825698
Robert Frost,87,80+,USA,Right,City,6.5,Under 7 hours,No Qualifications,Citroën,2031-05-01,93.45,105.79308527987
Nancy Spencer,89,80+,NZ,Right,City,9.5,9+ hours,No Qualifications,Toyota,2031-01-01,97.02,103.202495063278
Richard Smith,10,<20,South Korea,Left,Town,7.0,7 to <9 hours,No Qualifications,Mazda,2031-04-01,75.5,80.6652508459697
Brandon Henderson,10,<20,USA,Right,Rural,9.0,9+ hours,No Qualifications,Mitsubishi,2032-07-01,78.59,76.130911675412
Dominique Ramsey,58,50 to <60,NZ,Right,City,5.5,Under 7 hours,No Qualifications,Citroën,2030-03-01,98.82,95.6978992382137
Scott West,51,50 to <60,South Korea,Left,Rural,8.0,7 to <9 hours,No Qualifications,Renault,2030-03-01,93.13,99.5006706973922
Timothy Stone,46,40 to <50,South Korea,Right,Town,9.0,9+ hours,No Qualifications,Volkswagen,2031-10-01,89.02,93.5970676166828
Brenda Berger,34,30 to <40,South Korea,Right,City,5.5,Under 7 hours,Undergraduate,Kia,2031-08-01,94.83,99.722401959464
Cathy Payne,85,80+,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Hyundai,2030-02-01,98.01,105.532914624253
Lisa Rosario,79,70 to <80,USA,Left,City,9.0,9+ hours,No Qualifications,Mitsubishi,2032-04-01,92.79,87.4205307239912
Mark Hanson,86,80+,South Korea,Right,City,5.5,Under 7 hours,No Qualifications,Fiat,2031-07-01,99.17,110.121859189421
Meghan Curtis,16,<20,South Korea,Right,Town,8.0,7 to <9 hours,No Qualifications,Volkswagen,2031-05-01,82.64,95.5160862055357
John Schneider,35,30 to <40,NZ,Right,City,9.5,9+ hours,No Qualifications,Toyota,2030-01-01,93.67,97.615499500117
Stacey Parker,74,70 to <80,USA,Right,Town,9.5,9+ hours,No Qualifications,Peugeot,2032-04-01,94.07,101.900431621522
Pamela Camacho,23,20 to <30,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Renault,2031-05-01,94.13,102.960240199612
Nicole Davis,34,30 to <40,NZ,Left,City,7.5,7 to <9 hours,No Qualifications,Volkswagen,2031-10-01,92.98,105.874496256
Marie Smith,51,50 to <60,USA,Left,Rural,9.0,9+ hours,No Qualifications,Mazda,2032-08-01,93.2,105.845233887952
Marc Mckinney,27,20 to <30,Denmark,Right,City,9.5,9+ hours,No Qualifications,Mazda,2030-01-01,90.68,87.5971371583341
Natalie Hanna,39,30 to <40,USA,Left,City,4.5,Under 7 hours,Undergraduate,Hyundai,2031-05-01,86.99,79.5759214469213
Elizabeth Chung,33,30 to <40,South Korea,Right,City,9.5,9+ hours,No Qualifications,Volkswagen,2032-07-01,92.83,102.754947102859
Laura Jones,15,<20,South Korea,Right,City,10.0,9+ hours,No Qualifications,Nissan,2031-06-01,88.37,91.373517034368
Theresa Wilson,11,<20,USA,Left,Town,6.5,Under 7 hours,No Qualifications,Volkswagen,2032-09-01,79.47,80.8513557342863
Thomas Burch,36,30 to <40,USA,Left,Town,10.0,9+ hours,No Qualifications,Mazda,2031-09-01,90.53,97.2952364245129
Adam Woodward,34,30 to <40,Denmark,Right,Rural,6.5,Under 7 hours,No Qualifications,Honda,2030-02-01,92.43,96.0776580143203
Lucas Bell,86,80+,South Korea,Left,City,5.5,Under 7 hours,No Qualifications,Honda,2032-02-01,96.53,95.0279318172375
Troy Pace,51,50 to <60,USA,Right,City,9.5,9+ hours,No Qualifications,Kia,2032-05-01,97.05,103.797463208962
Amanda Harrison,24,20 to <30,South Korea,Right,City,8.5,7 to <9 hours,No Qualifications,Renault,2032-08-01,94.92,101.500093462365
Mr. Jerry Williams,66,60 to <70,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Nissan,2030-02-01,95.45,96.3415781084333
Benjamin Wright,39,30 to <40,USA,Right,Town,9.0,9+ hours,Undergraduate,Tesla,2032-09-01,94.15,102.455739993056
Xavier Russell,90,80+,South Korea,Right,Town,7.5,7 to <9 hours,No Qualifications,Mitsubishi,2031-02-01,98.54,90.7289367104602
Joshua Neal,50,50 to <60,South Korea,Right,City,7.0,7 to <9 hours,Undergraduate,Volkswagen,2031-11-01,94.37,101.679665920427
Diana Young,18,<20,South Korea,Right,City,9.0,9+ hours,No Qualifications,Mini,2030-02-01,91.04,102.839123585616
Rodney Fields,27,20 to <30,USA,Right,Town,7.0,7 to <9 hours,Undergraduate,Mazda,2031-01-01,90.87,94.5837532689225
Troy Smith,59,50 to <60,Denmark,Right,City,8.0,7 to <9 hours,No Qualifications,Nissan,2030-11-01,96.06,97.5056916837914
Amanda Brown,38,30 to <40,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Tesla,2032-04-01,95.63,102.895774392379
Michael Frey,8,<20,USA,Left,City,7.0,7 to <9 hours,No Qualifications,Toyota,2031-10-01,71.33,71.6230571462671
Kristen Schaefer,84,80+,USA,Right,Town,4.5,Under 7 hours,Undergraduate,Audi,2030-04-01,98.28,96.9343424803517
Benjamin Gonzalez MD,78,70 to <80,USA,Right,Town,5.5,Under 7 hours,No Qualifications,Citroën,2032-07-01,99.7,115.276365037006
Catherine Tran,36,30 to <40,South Korea,Left,City,8.0,7 to <9 hours,Undergraduate,Tesla,2031-11-01,88.24,105.934780992609
Paula Jones,39,30 to <40,USA,Left,City,4.0,Under 7 hours,No Qualifications,Peugeot,2032-08-01,100.15,109.199787601277
Bradley Garner,48,40 to <50,USA,Ambidextrous,City,5.0,Under 7 hours,No Qualifications,Peugeot,2031-12-01,92.74,82.8497368480799
William Roberts,87,80+,Denmark,Right,Rural,7.5,7 to <9 hours,Undergraduate,Porsche,2031-10-01,95.68,108.826647371877
Donald Dunn,53,50 to <60,USA,Left,City,6.5,Under 7 hours,No Qualifications,Honda,2032-10-01,96.43,107.558691413366
Kimberly Case,41,40 to <50,USA,Right,City,6.0,Under 7 hours,No Qualifications,Mercedes,2032-07-01,91.55,107.116641962201
Juan Bryant,61,60 to <70,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Volkswagen,2032-07-01,97.3,105.734146221381
Andrew Lopez,56,50 to <60,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Citroën,2032-12-01,98.66,109.192025816576
Ricardo Collins,81,80+,NZ,Right,Town,8.0,7 to <9 hours,No Qualifications,Volkswagen,2031-11-01,94.32,100.771852643013
Lisa Hampton,30,30 to <40,Denmark,Left,City,8.0,7 to <9 hours,No Qualifications,Suzuki,2031-03-01,92.77,95.1910438485227
Kelsey Gonzales,19,<20,NZ,Right,Rural,8.0,7 to <9 hours,No Qualifications,Volkswagen,2031-07-01,87.29,96.1124840875246
Cassandra Bush,47,40 to <50,USA,Right,City,4.0,Under 7 hours,No Qualifications,Tesla,2030-01-01,96.64,98.4647404693956
Debra Hernandez,64,60 to <70,South Korea,Left,City,7.0,7 to <9 hours,No Qualifications,Mini,2030-10-01,100.79,100.428790874827
Jacob Melton,45,40 to <50,USA,Left,City,8.0,7 to <9 hours,Undergraduate,Toyota,2031-02-01,97.17,96.1517610009755
Diana Hoffman,9,<20,South Korea,Right,Town,10.5,9+ hours,No Qualifications,Mitsubishi,2030-02-01,77.68,72.2668265551978
Ronald Moore,14,<20,South Korea,Right,Town,8.0,7 to <9 hours,No Qualifications,Mitsubishi,2031-09-01,75.77,71.2334737154011
Cynthia Waters,78,70 to <80,USA,Right,City,6.5,Under 7 hours,No Qualifications,Tesla,2030-03-01,96.14,93.0113780678272
Edgar Campbell,81,80+,USA,Right,City,7.5,7 to <9 hours,Undergraduate,Mazda,2032-05-01,95.32,104.022202838755
Monica Kennedy,33,30 to <40,Denmark,Ambidextrous,City,8.5,7 to <9 hours,No Qualifications,Tesla,2032-03-01,95.2,95.8801760466577
Laura Jackson,56,50 to <60,South Korea,Right,City,6.5,Under 7 hours,No Qualifications,Mitsubishi,2031-01-01,95.24,96.8444888893463
Miguel Miller,16,<20,NZ,Left,Rural,9.0,9+ hours,No Qualifications,Citroën,2031-12-01,85.72,91.6024641420113
Mary Guerrero,10,<20,NZ,Ambidextrous,Rural,9.0,9+ hours,No Qualifications,Peugeot,2032-09-01,76.41,92.9182319179752
Kimberly Contreras,9,<20,NZ,Right,Town,9.0,9+ hours,No Qualifications,Mazda,2030-03-01,76.22,80.9563078383904
Joanne Lane,52,50 to <60,USA,Right,Town,10.5,9+ hours,No Qualifications,Kia,2032-11-01,99.25,93.658265534291
Henry Wilson,11,<20,NZ,Ambidextrous,Town,9.5,9+ hours,No Qualifications,Volkswagen,2031-11-01,77.18,80.1539242379031
Aaron Ross,50,50 to <60,South Korea,Right,City,10.0,9+ hours,Postgraduate,Jaguar,2031-04-01,97.8,102.273674183106
Martha Schwartz,47,40 to <50,USA,Left,City,10.0,9+ hours,Undergraduate,Mitsubishi,2032-11-01,97.36,113.081572873243
Karen Smith,29,20 to <30,NZ,Right,Rural,8.0,7 to <9 hours,Postgraduate,Nissan,2032-07-01,94.31,107.146271127856
Troy Stevenson,99,80+,South Korea,Left,City,7.5,7 to <9 hours,No Qualifications,Nissan,2030-02-01,95.62,100.494021927107
Erica Johnson,65,60 to <70,Denmark,Right,Rural,6.0,Under 7 hours,Undergraduate,Audi,2032-03-01,102.19,102.423161540778
Casey Gonzalez,30,30 to <40,Denmark,Ambidextrous,City,7.5,7 to <9 hours,No Qualifications,Mazda,2030-11-01,96.67,98.6757193100102
Joshua Yang,74,70 to <80,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Volkswagen,2032-05-01,93.81,96.2132113799763
Cynthia Phelps,86,80+,Denmark,Ambidextrous,Rural,7.5,7 to <9 hours,No Qualifications,Tesla,2032-03-01,96.7,98.7686607355728
Russell Torres,84,80+,USA,Left,City,7.0,7 to <9 hours,No Qualifications,Suzuki,2031-10-01,98.6,107.820865909613
Cynthia Williams,73,70 to <80,NZ,Left,Rural,5.5,Under 7 hours,No Qualifications,Citroën,2031-04-01,97.5,117.244315221438
Heidi Rice,48,40 to <50,USA,Right,City,4.0,Under 7 hours,No Qualifications,Lamborghini,2032-06-01,93.23,90.1769671834787
James Howard,47,40 to <50,NZ,Left,Town,6.5,Under 7 hours,No Qualifications,Toyota,2031-01-01,92.83,80.8315995047094
Henry Peterson,22,20 to <30,Denmark,Right,City,8.0,7 to <9 hours,No Qualifications,Tesla,2031-05-01,86.98,86.1140880080979
Jeff Vasquez,53,50 to <60,South Korea,Right,City,7.0,7 to <9 hours,No Qualifications,Tesla,2030-03-01,96.41,110.607171659215
Ana Wu,47,40 to <50,USA,Left,Rural,6.0,Under 7 hours,Postgraduate,Suzuki,2030-02-01,96.91,105.584040019599
Samuel Pennington,33,30 to <40,South Korea,Right,City,8.0,7 to <9 hours,Undergraduate,Tesla,2032-11-01,94.22,98.6887115488021
Matthew George,21,20 to <30,USA,Ambidextrous,City,8.0,7 to <9 hours,Undergraduate,Toyota,2031-05-01,89.17,95.7081479359176
Dawn Adams MD,33,30 to <40,NZ,Right,City,6.5,Under 7 hours,Undergraduate,Mercedes,2030-10-01,97.13,105.843351667009
Jack Cohen,40,40 to <50,USA,Right,Rural,8.0,7 to <9 hours,No Qualifications,Tesla,2032-12-01,94.07,109.899358435479
Gregory Jackson,20,20 to <30,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Kia,2032-10-01,91.76,102.288866568064
Eric Avery,34,30 to <40,USA,Ambidextrous,Rural,8.5,7 to <9 hours,Undergraduate,Honda,2031-01-01,94.21,99.6850195617312
Judith Guzman,10,<20,USA,Left,Rural,6.5,Under 7 hours,No Qualifications,Toyota,2030-02-01,80.39,87.1518584103897
Sharon Chung,59,50 to <60,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Mercedes,2031-02-01,92.57,94.1937425481551
Tracy Torres,68,60 to <70,USA,Right,Rural,5.5,Under 7 hours,Postgraduate,Nissan,2031-04-01,98.56,103.445446112027
Ronald Byrd,49,40 to <50,USA,Right,City,6.5,Under 7 hours,No Qualifications,Hyundai,2030-02-01,94.86,101.921620726872
William Young,91,80+,South Korea,Right,Town,5.0,Under 7 hours,No Qualifications,Nissan,2032-12-01,95.7,107.920428008656
Teresa King,76,70 to <80,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Suzuki,2031-03-01,100.08,109.862637615677
Brittany Lopez,84,80+,NZ,Right,Town,7.0,7 to <9 hours,No Qualifications,Honda,2031-05-01,98.36,91.5466623092678
Michael Barnett,20,20 to <30,USA,Right,City,6.5,Under 7 hours,Undergraduate,Peugeot,2032-12-01,88.22,102.535416755285
Gabriela Williams,31,30 to <40,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Maserati,2031-06-01,95.92,89.6920307815075
Stephanie Jones,83,80+,Denmark,Right,City,7.0,7 to <9 hours,No Qualifications,Citroën,2032-10-01,93.82,101.39699106814
Brittany Bennett,10,<20,South Korea,Right,City,9.5,9+ hours,No Qualifications,Tesla,2031-05-01,75.23,77.395107987346
Arthur Holt,70,70 to <80,USA,Right,Town,6.0,Under 7 hours,No Qualifications,Fiat,2031-05-01,94.02,115.081045046067
Sandra Wood,17,<20,Denmark,Left,City,9.5,9+ hours,No Qualifications,Kia,2031-01-01,90.86,94.0002717568167
Daniel Allen,67,60 to <70,Denmark,Left,Town,10.0,9+ hours,No Qualifications,Hyundai,2031-12-01,96.09,99.1459248072905
Betty Lewis,57,50 to <60,South Korea,Left,City,8.5,7 to <9 hours,Undergraduate,Mini,2031-08-01,93.18,100.256248074438
Eric Murphy II,67,60 to <70,NZ,Right,City,8.0,7 to <9 hours,No Qualifications,Tesla,2031-06-01,94.17,95.1730032840836
Dustin Crawford,10,<20,USA,Right,City,6.0,Under 7 hours,No Qualifications,Tesla,2032-11-01,77.65,80.1756055408618
Jonathan Miller,99,80+,South Korea,Right,City,8.5,7 to <9 hours,No Qualifications,Tesla,2031-03-01,98.85,103.514294717452
Heather Hardin,45,40 to <50,South Korea,Left,Rural,8.5,7 to <9 hours,No Qualifications,Peugeot,2032-06-01,99.82,109.184200367187
Jeffrey Williams,76,70 to <80,NZ,Right,Rural,8.5,7 to <9 hours,No Qualifications,Honda,2031-10-01,96.72,83.713206932445
Amanda Martin,43,40 to <50,Denmark,Right,Town,7.0,7 to <9 hours,No Qualifications,Mercedes,2031-07-01,97.6,107.534806823817
Stacy Dickerson,63,60 to <70,USA,Right,City,9.0,9+ hours,No Qualifications,Suzuki,2030-03-01,96.17,104.221030945542
Melissa Anderson,26,20 to <30,South Korea,Right,Rural,5.5,Under 7 hours,Undergraduate,Hyundai,2032-05-01,90.92,106.13430470238
Caroline Ortiz,15,<20,USA,Right,City,6.0,Under 7 hours,No Qualifications,Kia,2031-10-01,85.91,90.0043213984671
Brooke Diaz,41,40 to <50,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Toyota,2031-01-01,94.54,95.3233839050781
Justin Johnson,78,70 to <80,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Nissan,2031-11-01,98.19,110.34582029125
Scott Ward,41,40 to <50,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Peugeot,2031-02-01,91.92,95.6996962658908
Jonathan Mcfarland,76,70 to <80,USA,Right,Rural,6.5,Under 7 hours,No Qualifications,Mini,2031-05-01,92.16,87.4771701030439
Emma Curtis,85,80+,South Korea,Right,City,8.0,7 to <9 hours,Undergraduate,Toyota,2030-01-01,99.09,102.184055550821
Jeremy Graves,20,20 to <30,NZ,Right,Rural,7.0,7 to <9 hours,No Qualifications,Mini,2032-11-01,93.52,88.0254600717372
Ryan Glover,11,<20,USA,Right,Rural,7.0,7 to <9 hours,No Qualifications,Peugeot,2031-08-01,73.32,81.5961254461871
Patrick Whitehead,63,60 to <70,USA,Right,Town,8.0,7 to <9 hours,Undergraduate,Aston Martin,2031-07-01,96.69,106.122812145214
Charles Reid,62,60 to <70,South Korea,Right,City,7.0,7 to <9 hours,No Qualifications,Mitsubishi,2031-04-01,93.62,99.8114194437508
Mrs. Nicole Buchanan,61,60 to <70,USA,Right,City,7.0,7 to <9 hours,No Qualifications,BMW,2032-12-01,94.9,109.415288599493
Patricia Beard,72,70 to <80,USA,Right,Rural,5.0,Under 7 hours,No Qualifications,Mitsubishi,2031-12-01,94.32,96.4316208541268
Mark Gregory,20,20 to <30,NZ,Left,Rural,6.0,Under 7 hours,No Qualifications,Tesla,2032-02-01,92.52,99.4527711156956
Joshua Townsend,79,70 to <80,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Hyundai,2032-01-01,102.04,99.6370681383836
Charles Hammond,78,70 to <80,Denmark,Right,City,5.5,Under 7 hours,No Qualifications,Hyundai,2032-01-01,94.58,99.1894860808692
Kristen Reynolds,85,80+,South Korea,Right,City,4.0,Under 7 hours,No Qualifications,Mini,2031-12-01,95.6,101.602138632012
Jason Ray,82,80+,NZ,Right,Rural,6.5,Under 7 hours,No Qualifications,Suzuki,2032-03-01,95.67,98.5620673448892
Shannon Moore,91,80+,USA,Right,City,5.0,Under 7 hours,Undergraduate,Jaguar,2032-04-01,95.77,111.208037572843
James Anderson,70,70 to <80,NZ,Right,City,7.5,7 to <9 hours,No Qualifications,Mazda,2032-09-01,96.92,93.1697693515476
Kimberly Jones,82,80+,NZ,Right,Town,8.5,7 to <9 hours,No Qualifications,Tesla,2032-03-01,97.84,106.763138141553
Cassandra Williams,67,60 to <70,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Mazda,2031-12-01,97.5,90.1270161020174
Lynn Burns,14,<20,NZ,Right,Rural,7.0,7 to <9 hours,No Qualifications,Toyota,2032-10-01,79.94,76.1273534419421
David Brown,12,<20,South Korea,Right,City,6.5,Under 7 hours,No Qualifications,Hyundai,2030-09-01,80.72,84.5959751036742
Ashley Sullivan,70,70 to <80,Denmark,Left,City,7.0,7 to <9 hours,Undergraduate,Renault,2032-08-01,98.03,99.3624893261938
Grace Daniels,48,40 to <50,Denmark,Right,City,7.5,7 to <9 hours,No Qualifications,Fiat,2032-03-01,96.26,106.993129310943
Steven Hull,57,50 to <60,South Korea,Right,Town,7.0,7 to <9 hours,No Qualifications,Kia,2031-01-01,92.58,97.3450744655853
Alex Montes,43,40 to <50,NZ,Right,Town,9.5,9+ hours,No Qualifications,Suzuki,2032-09-01,96.2,98.7365207587775
Donald Pena,78,70 to <80,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Tesla,2032-02-01,94.39,98.4071866791742
Christopher Davis,72,70 to <80,South Korea,Right,City,7.0,7 to <9 hours,Undergraduate,Volkswagen,2032-12-01,91.36,96.4640080707318
Caitlin Guerrero,47,40 to <50,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Mini,2030-02-01,92.39,75.4167789813046
Kelli Park,15,<20,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Mercedes,2030-01-01,88.47,89.6655253358675
Michael Crawford,36,30 to <40,USA,Right,City,5.0,Under 7 hours,No Qualifications,Peugeot,2031-10-01,93.35,95.7860625416962
Leonard Wu,87,80+,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Suzuki,2030-09-01,96.85,94.182794170293
Latasha Ware,29,20 to <30,USA,Right,City,6.5,Under 7 hours,No Qualifications,Tesla,2032-05-01,93.65,99.6320497969795
Rachel Lee,53,50 to <60,USA,Right,Town,4.5,Under 7 hours,No Qualifications,Nissan,2030-04-01,96.25,97.1612705725748
Sherri Cross,61,60 to <70,USA,Right,City,6.5,Under 7 hours,No Qualifications,Volkswagen,2030-09-01,96.23,102.092373393449
Gwendolyn Thompson,42,40 to <50,NZ,Right,Town,8.0,7 to <9 hours,Postgraduate,Nissan,2030-01-01,92.6,93.8013023135814
